feedback_id,date,customer_id,feedback,rating,product,channel
1,2024-08-15,CUST8285,Package still hasn't arrived after 10 days. Very disappointed. Would try again.,1,Phone Charger,Website
2,2024-09-30,CUST1611,The EMI charges were wrong and I was overcharged. Would not buy again.,1,Laptop Bag,Mobile App
3,2024-10-24,CUST5349,The product quality is excellent. Very happy with my purchase. Would not buy again.,4,USB Hub,Email
4,2024-12-30,CUST7525,Requested a return 10 days ago and still waiting for pickup. Would not buy again.,1,HDMI Cable,Mobile App
5,2024-02-28,CUST5298,The app logged me out and deleted my cart.,2,Earbuds,In-Store
6,2024-09-27,CUST1697,Refund amount received was less than what I paid.,1,Smart Watch,In-Store
7,2024-08-20,CUST2442,Average experience. Would try again to see if it improves.,4,Webcam,WhatsApp
8,2024-10-27,CUST6400,The courier did not attempt delivery and left a card.,1,Laptop Bag,WhatsApp
9,2024-10-13,CUST7985,Cannot complete checkout on the app. It shows an error. Overall 40% satisfied.,2,Keyboard,Phone
10,2024-10-16,CUST1672,Product works perfectly. Very happy with the purchase.,5,Router,Phone
11,2024-08-16,CUST1797,The quality is terrible. Not worth the money.,1,Wireless Mouse,Phone
12,2024-08-26,CUST8238,Outstanding quality and great packaging. 5 stars! Overall 94% satisfied.,5,Smart Watch,Email
13,2024-05-06,CUST8172,Delivery was extremely delayed. No tracking updates provided.,2,Earbuds,Email
14,2024-05-16,CUST3330,Item received as described. No major complaints. Would try again.,3,Wireless Mouse,Mobile App
15,2024-10-25,CUST7543,"Excellent product, works exactly as described.",5,Keyboard,Mobile App
16,2024-05-01,CUST5944,Battery life is terrible. Lasts only 2 hours. Overall 93% satisfied.,1,Earbuds,Mobile App
17,2024-10-20,CUST5380,Cannot update my delivery address on the account page. Overall 57% satisfied.,1,Phone Case,Phone
18,2024-03-26,CUST2876,Outstanding quality and great packaging. 5 stars! Overall 52% satisfied.,4,HDMI Cable,Website
19,2024-11-29,CUST4267,My card was charged for a product I never ordered.,2,Desk Lamp,WhatsApp
20,2024-05-13,CUST4346,My order arrived earlier than expected. Great service! Overall 92% satisfied.,5,Keyboard,WhatsApp
21,2024-02-21,CUST4180,Happy with the quality. The product is exactly what I needed. Overall 95% satisfied.,5,Keyboard,WhatsApp
22,2024-12-02,CUST9889,Item received as described. No major complaints.,4,Laptop Bag,Website
23,2024-03-07,CUST9850,My package was delivered to a neighbor without my consent. Would not buy again.,2,Power Bank,Website
24,2024-08-05,CUST4585,The app is very smooth and easy to use. Love it.,4,Earbuds,Phone
25,2024-08-28,CUST6246,The color is completely different from what was shown online.,1,Phone Charger,WhatsApp
26,2024-03-18,CUST3444,The customer service was average. Could be more helpful.,4,Laptop Stand,Mobile App
27,2024-08-10,CUST3885,The product looks and feels premium. Worth every penny. Would try again.,5,Router,Phone
28,2024-10-03,CUST3167,"Excellent product, works exactly as described. Would try again.",5,Keyboard,Phone
29,2024-06-01,CUST1528,Password reset link is not working. Would recommend.,2,Webcam,WhatsApp
30,2024-08-13,CUST2633,The website is functional but a bit outdated.,4,Bluetooth Headphones,In-Store
31,2024-08-24,CUST5616,The delivery timeline was completely wrong. Took 12 days.,2,Earbuds,Email
32,2024-07-06,CUST1741,The invoice does not match the actual amount charged.,2,Wireless Mouse,Email
33,2024-04-05,CUST8061,The return label they sent was invalid.,2,Router,Email
34,2024-01-29,CUST5806,Overall experience was satisfactory. Could be improved. Overall 25% satisfied.,4,Phone Charger,Phone
35,2024-11-04,CUST9341,Money deducted but I received no order confirmation. Would recommend.,2,Earbuds,Website
36,2024-07-22,CUST5520,The courier did not attempt delivery and left a card.,1,USB Hub,Phone
37,2024-11-23,CUST1939,The support team took 7 days to respond to my simple question. Overall 75% satisfied.,1,Screen Protector,WhatsApp
38,2024-05-06,CUST3308,The agent couldn't resolve my issue and transferred me 3 times.,1,Wireless Mouse,WhatsApp
39,2024-05-01,CUST9094,I had to contact support 5 times for the same issue. Would not buy again.,1,Phone Charger,Email
40,2024-10-27,CUST4538,The delivery timeline was completely wrong. Took 12 days. Would not buy again.,1,Desk Lamp,Mobile App
41,2024-11-06,CUST9138,Customer support responded eventually but took time.,4,Keyboard,Email
42,2024-11-24,CUST9346,Really good product. No complaints at all. Overall 55% satisfied.,5,Router,WhatsApp
43,2024-01-29,CUST3295,Product quality is far below what was advertised. Would not buy again.,2,Keyboard,In-Store
44,2024-09-14,CUST3762,The chat support kept disconnecting without resolving my issue.,1,Power Bank,In-Store
45,2024-05-20,CUST1920,The package was clearly mishandled. Item was broken inside. Overall 100% satisfied.,2,Earbuds,Website
46,2024-12-21,CUST3316,Search functionality on the website doesn't work properly. Overall 43% satisfied.,2,Laptop Bag,Email
47,2024-05-17,CUST3526,The return label they sent was invalid.,2,Phone Case,In-Store
48,2024-01-07,CUST5658,Product works perfectly. Very happy with the purchase.,5,Monitor,Phone
49,2024-08-07,CUST1430,My parcel arrived after a week. Unacceptable for paid shipping. Would recommend.,2,Bluetooth Headphones,Mobile App
50,2024-12-05,CUST3492,Average experience. Would try again to see if it improves.,4,Wireless Mouse,Mobile App
51,2024-06-02,CUST3580,The support team took 7 days to respond to my simple question. Overall 28% satisfied.,1,Phone Charger,Email
52,2024-05-01,CUST6304,My order arrived 6 days late. The promised delivery was 2 days. Overall 21% satisfied.,1,Power Bank,WhatsApp
53,2024-02-21,CUST3252,I was charged twice for the same order.,1,Router,Mobile App
54,2024-12-15,CUST9835,The finish is poor and shows scratches easily.,1,Phone Charger,Website
55,2024-09-26,CUST6053,Package arrived damaged due to poor shipping handling.,1,Keyboard,Phone
56,2024-09-01,CUST2869,The product meets basic requirements. Overall 26% satisfied.,3,Screen Protector,Phone
57,2024-01-17,CUST6413,The customer service team was very polite and helpful.,4,Earbuds,Mobile App
58,2024-06-01,CUST5735,Refund has not been processed even after 15 days. Would try again.,1,Monitor,WhatsApp
59,2024-06-21,CUST1470,The app is very smooth and easy to use. Love it.,5,Desk Lamp,Mobile App
60,2024-03-19,CUST4214,Battery life is terrible. Lasts only 2 hours. Overall 73% satisfied.,2,Keyboard,Phone
61,2024-03-02,CUST5033,"Delivery was super fast, got my package in just 2 days.",4,Laptop Stand,Phone
62,2024-12-22,CUST5844,My order arrived earlier than expected. Great service!,4,Smart Watch,Phone
63,2024-09-19,CUST7806,Product quality is far below what was advertised. Would not buy again.,2,Wireless Mouse,Email
64,2024-09-28,CUST7012,The support team took 7 days to respond to my simple question. Would recommend.,2,Desk Lamp,In-Store
65,2024-08-26,CUST5712,Order arrived correctly but the delivery experience was average.,3,Laptop Stand,Phone
66,2024-08-18,CUST7079,Product was damaged when I received it. Clearly poor packaging.,1,Router,In-Store
67,2024-05-25,CUST2374,No response to my email even after 5 days.,1,Webcam,Phone
68,2024-05-02,CUST1949,The product quality is excellent. Very happy with my purchase. Overall 66% satisfied.,4,Laptop Stand,Website
69,2024-08-24,CUST1672,Delivery was extremely delayed. No tracking updates provided.,2,Smart Watch,WhatsApp
70,2024-11-10,CUST1710,I paid for express delivery but it arrived on standard time. Would not buy again.,2,Mechanical Keyboard,In-Store
71,2024-12-05,CUST3041,"Delivery was super fast, got my package in just 2 days. Overall 62% satisfied.",5,Earbuds,WhatsApp
72,2024-02-01,CUST8381,My package was delivered to a neighbor without my consent. Would recommend.,1,Desk Lamp,In-Store
73,2024-02-09,CUST9363,Received a wrong item in my order. Very inconvenient. Would not buy again.,1,Earbuds,Email
74,2024-02-19,CUST8178,The app keeps showing loading but never loads the page.,2,Desk Lamp,Website
75,2024-09-02,CUST4422,Very flimsy construction. Would not recommend. Would try again.,2,HDMI Cable,Website
76,2024-03-31,CUST9095,Still waiting for my package after 8 days. Very frustrating.,2,Mechanical Keyboard,In-Store
77,2024-10-05,CUST7010,My account was locked without any explanation. Overall 34% satisfied.,1,Mechanical Keyboard,Email
78,2024-09-25,CUST6908,Support response was generic and didn't address my problem.,1,Earbuds,Email
